Date,Día,NVDA.O,MSFT.O,SIEGn.DE,VLO,BA,JPM,LMT,FEIM.OQ,GOOGL.O,INTC.O,MU.O,XAU= (BID)
2025-11-04,1,198.69,514.33,244.2,169.11,198.05,309.25,484.98,33.97,277.54,37.03,218.03,3931.78
2025-11-03,2,206.88,517.03,247.2,171.6,204.55,309.35,487.94,35.7,283.72,39.5,234.7,4001.42
2025-10-31,3,202.49,517.81,245.55,169.56,201.02,311.12,491.88,36.72,281.19,39.99,223.77,4001.7798
2025-10-30,4,202.89,525.76,247.0,170.1,200.08,309.44,489.72,37.42,281.48,40.16,224.01,4023.22
2025-10-29,5,207.04,541.55,245.75,170.66,213.58,305.51,485.33,37.15,274.57,41.34,226.63,3929.3633
2025-10-28,6,201.03,542.07,246.25,169.34,223.33,305.36,485.77,37.58,267.47,41.53,221.91,3951.5649
2025-10-27,7,191.49,531.52,246.8,174.35,223.0,304.15,486.91,36.81,269.27,39.54,220.1,3980.5481
2025-10-24,8,186.26,523.61,243.6,171.05,221.35,300.44,485.41,37.47,259.92,38.28,219.02,4111.5181
2025-10-23,9,182.16,520.56,239.65,173.13,217.77,294.54,488.05,39.76,253.08,38.16,206.71,4125.0024
2025-10-22,10,180.28,520.54,242.0,161.87,216.59,294.11,487.14,34.5,251.69,36.92,198.47,4093.77
2025-10-21,11,181.16,517.66,241.9,157.69,217.26,297.09,489.5,36.01,250.46,38.12,202.29,4123.8525
2025-10-20,12,182.64,516.79,243.2,160.17,216.82,302.36,505.9,36.72,256.55,38.1,206.77,4355.2549
2025-10-17,13,183.22,513.58,237.9,157.77,212.94,297.56,495.15,34.02,253.3,37.01,202.38,4248.7251
2025-10-16,14,181.81,511.61,244.25,156.39,211.89,298.54,493.25,35.98,251.46,36.84,202.53,4325.3467
2025-10-15,15,179.83,513.43,240.65,160.98,214.0,305.69,499.41,38.91,251.03,37.15,191.94,4207.5146
2025-10-14,16,180.03,513.57,238.35,162.19,214.3,302.08,505.18,38.11,245.45,35.63,187.06,4141.4697
2025-10-13,17,188.32,514.05,246.1,161.41,215.56,307.97,503.83,37.44,244.15,37.22,192.77,4110.1182
2025-10-10,18,183.16,510.96,242.3,158.02,210.73,300.89,505.05,35.52,236.57,36.37,181.6,4017.343
2025-10-09,19,192.57,522.4,246.45,162.01,216.0,305.53,507.76,38.66,241.53,37.8,192.33,3975.0449
2025-10-08,20,189.11,524.85,245.25,162.44,225.32,304.03,514.02,38.97,244.62,37.43,196.54,4037.9
2025-10-07,21,185.04,523.98,242.3,163.17,221.82,307.69,511.07,36.3,245.76,37.17,185.69,3983.5459
2025-10-06,22,185.54,528.57,243.25,163.42,219.73,309.18,514.24,38.27,250.43,36.59,190.96,3960.4097
2025-10-03,23,187.62,517.35,241.2,160.4,216.3,310.03,504.49,34.91,245.35,36.83,187.83,3885.9905
2025-10-02,24,188.89,515.74,241.2,164.7,217.43,307.55,499.36,35.69,245.69,37.3,183.75,3856.0125
2025-10-01,25,187.24,519.71,231.45,167.67,215.2,310.71,499.0,34.25,244.9,35.94,182.15,3865.4495
2025-09-30,26,186.58,517.95,229.2,170.26,215.83,315.43,499.21,33.91,243.1,33.55,167.32,3858.1787
2025-09-29,27,181.85,514.6,226.2,172.14,217.08,315.69,491.98,32.09,244.05,34.48,163.9,3833.553
2025-09-26,28,178.19,511.46,228.75,175.63,221.26,316.06,487.44,30.11,246.54,35.5,157.27,3759.6377
2025-09-25,29,177.69,507.03,223.8,174.42,213.53,313.45,484.34,29.81,245.79,33.99,156.83,3748.8196
2025-09-24,30,176.97,510.15,226.35,170.83,215.1,313.42,486.25,29.25,247.14,31.22,161.71,3735.9199
2025-09-23,31,178.43,509.23,229.0,170.39,216.34,312.74,486.67,29.84,251.66,29.34,166.41,3763.821
2025-09-22,32,183.61,514.45,227.05,166.44,212.09,312.44,480.39,29.89,252.53,28.76,164.62,3746.2075
2025-09-19,33,176.67,517.93,228.4,162.62,215.65,314.78,472.94,30.74,254.72,29.58,162.73,3683.7251
2025-09-18,34,176.24,508.45,228.0,163.85,215.66,313.23,473.62,30.82,252.03,30.57,168.89,3644.0095
2025-09-17,35,170.29,510.02,225.25,163.67,214.63,311.75,473.12,27.33,249.53,24.9,159.99,3659.6714
2025-09-16,36,174.88,509.04,226.05,162.64,215.02,309.19,474.32,27.43,251.16,25.27,158.82,3689.4661
2025-09-15,37,177.75,515.36,230.2,157.57,215.75,308.9,473.25,28.0,251.61,24.77,157.77,3678.7805
2025-09-12,38,177.82,509.9,228.55,156.72,215.94,306.91,471.31,27.13,240.8,24.08,157.23,3642.6284
2025-09-11,39,177.17,501.01,229.05,157.59,219.99,305.56,470.73,34.35,240.37,24.61,150.57,3633.7388
2025-09-10,40,177.33,500.37,228.4,158.5,227.52,300.54,463.87,32.65,239.17,24.77,140.0,3640.386
2025-09-09,41,170.76,498.41,228.5,161.83,229.52,297.85,457.06,32.56,239.63,24.44,135.24,3626.136
2025-09-08,42,168.31,498.2,230.65,157.36,230.95,292.91,459.11,32.64,234.04,24.48,131.46,3635.3601
2025-09-05,43,167.02,495.0,226.0,156.77,229.61,294.38,463.9,31.6,235.0,24.49,131.37,3586.3591
2025-09-04,44,171.66,507.97,230.05,155.39,230.75,303.82,456.85,33.04,232.3,24.61,124.21,3545.3333
2025-09-03,45,170.62,505.35,229.45,155.38,232.38,299.51,449.06,31.77,230.66,24.0,118.72,3558.7222
2025-09-02,46,170.78,505.12,228.7,154.28,237.38,299.7,452.5,32.51,211.35,24.21,118.48,3532.9294
2025-08-29,47,174.18,506.69,236.6,152.01,234.68,301.42,455.63,32.25,212.91,24.35,119.01,3446.7451
2025-08-28,48,180.17,509.64,236.85,151.16,236.16,301.07,456.18,32.81,211.64,24.93,122.0,3416.6885
2025-08-27,49,181.6,506.74,233.0,150.77,235.62,299.28,454.47,32.44,207.48,24.85,117.75,3396.8875
2025-08-26,50,181.77,502.04,234.9,146.95,234.83,298.57,455.46,32.86,207.14,24.35,116.5,3392.3333
2025-08-25,51,179.81,504.26,235.5,147.11,226.87,294.9,447.72,30.81,208.49,24.55,116.42,3366.2451
2025-08-22,52,177.99,507.23,236.9,145.37,230.12,296.24,446.2,29.01,206.09,24.8,117.68,3371.668
2025-08-21,53,174.98,504.24,233.65,140.29,224.46,291.47,447.2,27.36,199.75,23.5,115.79,3338.4629
2025-08-20,54,175.4,505.72,233.5,140.51,225.62,292.24,446.0,27.0,199.32,23.54,117.21,3346.7534
2025-08-19,55,175.64,509.77,238.25,137.93,225.0,290.66,441.1,26.95,201.57,25.31,122.05,3315.1875
