Date,Día,SIEGn.DE,AAPL.O,LMT,MSFT.O,NVDA.O,GOOGL.O,INTC.O,XAU=
2025-11-04,1,280.39044,270.04,484.98,514.33,198.69,277.54,37.03,3931.78
2025-11-03,2,284.72495999999995,269.05,487.94,517.03,206.88,283.72,39.5,4001.42
2025-10-31,3,283.21737,270.37,491.88,517.81,202.49,281.19,39.99,4001.7798
2025-10-30,4,285.6555,271.4,489.72,525.76,202.89,281.48,40.16,4023.22
2025-10-29,5,285.04542499999997,269.7,485.33,541.55,207.04,274.57,41.34,3929.3633
2025-10-28,6,286.88125,269.0,485.77,542.07,201.03,267.47,41.53,3951.5649
2025-10-27,7,287.34924,268.81,486.91,531.52,191.49,269.27,39.54,3980.5481
2025-10-24,8,283.185,262.82,485.41,523.61,186.26,259.92,38.28,4111.5181
2025-10-23,9,278.401405,259.58,488.05,520.56,182.16,253.08,38.16,4125.0024
2025-10-22,10,280.962,258.45,487.14,520.54,180.28,251.69,36.92,4093.77
2025-10-21,11,280.55562,262.77,489.5,517.66,181.16,250.46,38.12,4123.8525
2025-10-20,12,283.0848,262.24,505.9,516.79,182.64,256.55,38.1,4355.2549
2025-10-17,13,277.17729,252.29,495.15,513.58,183.22,253.3,37.01,4248.7251
2025-10-16,14,285.454975,247.45,493.25,511.61,181.81,251.46,36.84,4325.3467
2025-10-15,15,280.26099000000005,249.34,499.41,513.43,179.83,251.03,37.15,4207.5146
2025-10-14,16,276.60517500000003,247.77,505.18,513.57,180.03,245.45,35.63,4141.4697
2025-10-13,17,284.68848,247.66,503.83,514.05,188.32,244.15,37.22,4110.1182
2025-10-10,18,281.50414,245.27,505.05,510.96,183.16,236.57,36.37,4017.343
2025-10-09,19,284.970135,254.04,507.76,522.4,192.57,241.53,37.8,3975.0449
2025-10-08,20,285.12765,258.06,514.02,524.85,189.11,244.62,37.43,4037.9
2025-10-07,21,282.40065,256.48,511.07,523.98,185.04,245.76,37.17,3983.5459
2025-10-06,22,284.82142500000003,256.69,514.24,528.57,185.54,250.43,36.59,3960.4097
2025-10-03,23,283.19291999999996,258.02,504.49,517.35,187.62,245.35,36.83,3885.9905
2025-10-02,24,282.54168,257.13,499.36,515.74,188.89,245.69,37.3,3856.0125
2025-10-01,25,271.467705,255.45,499.0,519.71,187.24,244.9,35.94,3865.4495
2025-09-30,26,268.92036,254.63,499.21,517.95,186.58,243.1,33.55,3858.1787
2025-09-29,27,265.2195,254.43,491.98,514.6,181.85,244.05,34.48,3833.553
2025-09-26,28,267.660375,255.46,487.44,511.46,178.19,246.54,35.5,3759.6377
2025-09-25,29,261.0627,256.87,484.34,507.03,177.69,245.79,33.99,3748.8196
2025-09-24,30,265.666995,252.31,486.25,510.15,176.97,247.14,31.22,3735.9199
2025-09-23,31,270.5635,254.43,486.67,509.23,178.43,251.66,29.34,3763.821
2025-09-22,32,267.96441,256.08,480.39,514.45,183.61,252.53,28.76,3746.2075
2025-09-19,33,268.23296000000005,245.5,472.94,517.93,176.67,254.72,29.58,3683.7251
2025-09-18,34,268.7208,237.88,473.62,508.45,176.24,252.03,30.57,3644.0095
2025-09-17,35,266.0653,238.99,473.12,510.02,170.29,249.53,24.9,3659.6714
2025-09-16,36,268.23093000000006,238.15,474.32,509.04,174.88,251.16,25.27,3689.4661
2025-09-15,37,270.7152,236.7,473.25,515.36,177.75,251.61,24.77,3678.7805
2025-09-12,38,268.157715,234.07,471.31,509.9,177.82,240.8,24.08,3642.6284
2025-09-11,39,268.744365,230.03,470.73,501.01,177.17,240.37,24.61,3633.7388
2025-09-10,40,267.06812,226.79,463.87,500.37,177.33,239.17,24.77,3640.386
2025-09-09,41,267.4821,234.35,457.06,498.41,170.76,239.63,24.44,3626.136
2025-09-08,42,271.29053,237.88,459.11,498.2,168.31,234.04,24.48,3635.3601
2025-09-05,43,264.8042,239.69,463.9,495.0,167.02,235.0,24.49,3586.3591
2025-09-04,44,267.985245,239.78,456.85,507.97,171.66,232.3,24.61,3545.3333
2025-09-03,45,267.56164499999994,238.47,449.06,505.35,170.62,230.66,24.0,3558.7222
2025-09-02,46,266.16105999999996,229.72,452.5,505.12,170.78,211.35,24.21,3532.9294
2025-08-29,47,280.07928,232.14,455.63,506.69,174.18,212.91,24.35,3475.87
2025-08-28,48,276.44344,232.14,455.63,506.69,174.18,212.91,24.35,3446.7451
2025-08-27,49,276.68816999999996,232.56,456.18,509.64,180.17,211.64,24.93,3416.6885
