Date,Día,NVDA.O,AAPL.O,LMT,MSFT.O,SIEGn.DE eur,SIEGn.DE Usd,GOOGL.O,INTC.O,EUR=,005930.KS Usd,RY,JPM
2025-12-03,1,185.4598308668076,284.06,439.5527649769585,489.095,228.75,263.7349864498645,316.7,41.72,1.167,71.41707182320442,156.69894736842107,311.324358974359
2025-12-02,2,181.46,286.19,441.82,490.0,227.3,264.19079000000005,315.81,43.47,1.1623,70.4177392772988,154.43,307.88
2025-12-01,3,179.92,283.1,439.19,486.74,226.2,262.6182,314.89,40.01,1.161,68.49594324621846,152.89,308.92
2025-11-28,4,177.0,278.85,457.86,492.01,228.3,264.71385,320.18,40.56,1.1595,68.48521605211691,154.09,313.08
2025-11-26,5,180.26,277.55,454.16,485.5,228.1,264.45914,319.95,36.81,1.1594,69.86780847520984,153.19,307.64
2025-11-25,6,177.82,276.97,452.41,476.99,227.0,262.6163,323.44,35.83,1.1569,67.7579818629692,152.22,303.0
2025-11-24,7,182.55,275.92,451.06,474.0,223.0,256.89599999999996,318.58,35.79,1.152,65.57710565577106,149.71,298.0
2025-11-21,8,178.88,271.49,460.78,472.12,219.15,252.263565,299.66,34.5,1.1511,64.50910476605243,149.99,298.02
2025-11-20,9,180.64,266.25,468.26,478.43,221.1,254.86197,289.45,33.62,1.1527,68.23901290843355,147.35,298.38
2025-11-19,10,186.52,268.56,469.91,487.12,218.6,252.17695999999998,292.81,35.11,1.1536,65.77915925373033,148.27,303.27
2025-11-18,11,181.36,267.44,474.72,493.79,218.15,252.59588499999998,284.28,34.33,1.1579,67.01889274921366,149.11,299.41
2025-11-17,12,186.6,267.46,470.78,507.49,223.0,258.457,285.02,34.71,1.159,68.80184930616822,147.13,300.37
2025-11-14,13,190.17,272.41,465.77,510.18,230.35,267.6667,276.41,35.52,1.162,67.13031707333917,146.56,303.61
2025-11-13,14,186.86,272.95,455.85,503.29,227.0,264.0237,278.57,35.91,1.1631,69.90201478278017,146.77,309.48
2025-11-12,15,193.8,273.47,457.04,511.14,250.4,290.26368,286.71,37.89,1.1592,70.17090119583195,148.97,320.41
