Date,Día,NVDA.O,AAPL.O,LMT,MSFT.O,SIEGn.DE eur,SIEGn.DE Usd,GOOGL.O,INTC.O,EUR=
2025-12-03,1,179.59,284.15,446.8,477.73,228.75,266.95125,319.63,43.76,1.167
2025-12-02,2,181.46,286.19,441.82,490.0,227.3,264.19079000000005,315.81,43.47,1.1623
2025-12-01,3,179.5,280.67,443.54,488.66,226.2,262.6182,314.89,40.01,1.161
2025-11-28,4,177.0,278.85,457.86,492.01,228.3,264.71385,320.18,40.56,1.1595
2025-11-26,5,180.26,277.55,454.16,485.5,228.1,264.45914,319.95,36.81,1.1594
2025-11-25,6,177.82,276.97,452.41,476.99,227.0,262.6163,323.44,35.83,1.1569
2025-11-24,7,182.55,275.92,451.06,474.0,223.0,256.89599999999996,318.58,35.79,1.152
2025-11-21,8,178.88,271.49,460.78,472.12,219.15,252.263565,299.66,34.5,1.1511
2025-11-20,9,180.64,266.25,468.26,478.43,221.1,254.86197,289.45,33.62,1.1527
2025-11-19,10,186.52,268.56,469.91,487.12,218.6,252.17695999999998,292.81,35.11,1.1536
2025-11-18,11,181.36,267.44,474.72,493.79,218.15,252.59588499999998,284.28,34.33,1.1579
2025-11-17,12,186.6,267.46,470.78,507.49,223.0,258.457,285.02,34.71,1.159
2025-11-14,13,190.17,272.41,465.77,510.18,230.35,267.6667,276.41,35.52,1.162
2025-11-13,14,186.86,272.95,455.85,503.29,227.0,264.0237,278.57,35.91,1.1631
2025-11-12,15,193.8,273.47,457.04,511.14,250.4,290.26368,286.71,37.89,1.1592
2025-11-11,16,193.16,275.25,457.07,508.68,247.4,286.4892,291.31,37.88,1.158
2025-11-10,17,199.05,269.43,452.1,506.0,245.7,283.93091999999996,290.1,38.45,1.1556
2025-11-07,18,188.15,268.47,458.35,496.82,237.3,274.43745,278.83,38.13,1.1565
2025-11-06,19,188.08,269.77,468.92,497.1,241.6,278.97552,284.75,37.24,1.1547
2025-11-05,20,195.21,270.14,473.14,507.16,245.0,281.5295,284.31,38.38,1.1491
2025-11-04,21,198.69,270.04,484.98,514.33,244.2,280.39044,277.54,37.03,1.1482
2025-11-03,22,206.88,269.05,487.94,517.03,247.2,284.72495999999995,283.72,39.5,1.1518
2025-10-31,23,202.49,270.37,491.88,517.81,245.55,283.21737,281.19,39.99,1.1534
2025-10-30,24,202.89,271.4,489.72,525.76,247.0,285.6555,281.48,40.16,1.1565
2025-10-29,25,207.04,269.7,485.33,541.55,245.75,285.04542499999997,274.57,41.34,1.1599
2025-10-28,26,201.03,269.0,485.77,542.07,246.25,286.88125,267.47,41.53,1.165
2025-10-27,27,191.49,268.81,486.91,531.52,246.8,287.34924,269.27,39.54,1.1643
2025-10-24,28,186.26,262.82,485.41,523.61,243.6,283.185,259.92,38.28,1.1625
2025-10-23,29,182.16,259.58,488.05,520.56,239.65,278.401405,253.08,38.16,1.1617
2025-10-22,30,180.28,258.45,487.14,520.54,242.0,280.962,251.69,36.92,1.161
2025-10-21,31,181.16,262.77,489.5,517.66,241.9,280.55562,250.46,38.12,1.1598
2025-10-20,32,182.64,262.24,505.9,516.79,243.2,283.0848,256.55,38.1,1.164
2025-10-17,33,183.22,252.29,495.15,513.58,237.9,277.17729,253.3,37.01,1.1651
2025-10-16,34,181.81,247.45,493.25,511.61,244.25,285.454975,251.46,36.84,1.1687
2025-10-15,35,179.83,249.34,499.41,513.43,240.65,280.26099000000005,251.03,37.15,1.1646
2025-10-14,36,180.03,247.77,505.18,513.57,238.35,276.60517500000003,245.45,35.63,1.1605
2025-10-13,37,188.32,247.66,503.83,514.05,246.1,284.68848,244.15,37.22,1.1568
2025-10-10,38,183.16,245.27,505.05,510.96,242.3,281.50414,236.57,36.37,1.1618
2025-10-09,39,192.57,254.04,507.76,522.4,246.45,284.970135,241.53,37.8,1.1563
2025-10-08,40,189.11,258.06,514.02,524.85,245.25,285.12765,244.62,37.43,1.1626
2025-10-07,41,185.04,256.48,511.07,523.98,242.3,282.40065,245.76,37.17,1.1655
2025-10-06,42,185.54,256.69,514.24,528.57,243.25,284.82142500000003,250.43,36.59,1.1709
2025-10-03,43,187.62,258.02,504.49,517.35,241.2,283.19291999999996,245.35,36.83,1.1741
2025-10-02,44,188.89,257.13,499.36,515.74,241.2,282.54168,245.69,37.3,1.1714
2025-10-01,45,187.24,255.45,499.0,519.71,231.45,271.467705,244.9,35.94,1.1729
2025-09-30,46,186.58,254.63,499.21,517.95,229.2,268.92036,243.1,33.55,1.1733
2025-09-29,47,181.85,254.43,491.98,514.6,226.2,265.2195,244.05,34.48,1.1725
2025-09-26,48,178.19,255.46,487.44,511.46,228.75,267.660375,246.54,35.5,1.1701
2025-09-25,49,177.69,256.87,484.34,507.03,223.8,261.0627,245.79,33.99,1.1665
2025-09-24,50,176.97,252.31,486.25,510.15,226.35,265.666995,247.14,31.22,1.1737
2025-09-23,51,178.43,254.43,486.67,509.23,229.0,270.5635,251.66,29.34,1.1815
2025-09-22,52,183.61,256.08,480.39,514.45,227.05,267.96441,252.53,28.76,1.1802
2025-09-19,53,176.67,245.5,472.94,517.93,228.4,268.23296000000005,254.72,29.58,1.1744
2025-09-18,54,176.24,237.88,473.62,508.45,228.0,268.7208,252.03,30.57,1.1786
2025-09-17,55,170.29,238.99,473.12,510.02,225.25,266.0653,249.53,24.9,1.1812
2025-09-16,56,174.88,238.15,474.32,509.04,226.05,268.23093000000006,251.16,25.27,1.1866
2025-09-15,57,177.75,236.7,473.25,515.36,230.2,270.7152,251.61,24.77,1.176
2025-09-12,58,177.82,234.07,471.31,509.9,228.55,268.157715,240.8,24.08,1.1733
2025-09-11,59,177.17,230.03,470.73,501.01,229.05,268.744365,240.37,24.61,1.1733
2025-09-10,60,177.33,226.79,463.87,500.37,228.4,267.06812,239.17,24.77,1.1693
2025-09-09,61,170.76,234.35,457.06,498.41,228.5,267.4821,239.63,24.44,1.1706
2025-09-08,62,168.31,237.88,459.11,498.2,230.65,271.29053,234.04,24.48,1.1762
2025-09-05,63,167.02,239.69,463.9,495.0,226.0,264.8042,235.0,24.49,1.1717
2025-09-04,64,171.66,239.78,456.85,507.97,230.05,267.985245,232.3,24.61,1.1649
2025-09-03,65,170.62,238.47,449.06,505.35,229.45,267.56164499999994,230.66,24.0,1.1661
2025-09-02,66,170.78,229.72,452.5,505.12,228.7,266.16105999999996,211.35,24.21,1.1638
2025-08-29,67,174.18,232.14,455.63,506.69,236.6,276.44344,212.91,24.35,1.1684
2025-08-28,68,180.17,232.56,456.18,509.64,236.85,276.68816999999996,211.64,24.93,1.1682
2025-08-27,69,181.6,230.49,454.47,506.74,233.0,271.14209999999997,207.48,24.85,1.1637
2025-08-26,70,181.77,229.31,455.46,502.04,234.9,273.47058,207.14,24.35,1.1642
2025-08-25,71,179.81,227.16,447.72,504.26,235.5,273.6039,208.49,24.55,1.1618
2025-08-22,72,177.99,227.76,446.2,507.23,236.9,277.52835,206.09,24.8,1.1715
2025-08-21,73,174.98,224.9,447.2,504.24,233.65,271.15082500000005,199.75,23.5,1.1605
2025-08-20,74,175.4,226.01,446.0,505.72,233.5,272.05085,199.32,23.54,1.1651
2025-08-19,75,175.64,230.56,441.1,509.77,238.25,277.46595,201.57,25.31,1.1646
2025-08-18,76,182.01,230.89,440.64,517.1,233.55,272.3193,203.5,23.66,1.166
2025-08-15,77,180.45,231.59,437.56,520.17,234.25,274.002225,203.9,24.56,1.1697
2025-08-14,78,182.02,232.78,437.32,522.48,233.25,271.64295000000004,202.94,23.86,1.1646
2025-08-13,79,181.59,233.33,442.57,520.58,230.25,269.4846,201.96,22.22,1.1704
2025-08-12,80,183.16,229.65,431.56,529.24,231.1,269.76303,203.34,21.81,1.1673
2025-08-11,81,182.06,227.18,426.26,521.77,228.05,264.85727,201.0,20.65,1.1614
2025-08-08,82,182.7,229.35,425.63,522.04,232.4,270.49036,201.42,19.95,1.1639
2025-08-07,83,180.77,220.03,430.75,520.84,227.1,264.91215,196.52,19.77,1.1665
2025-08-06,84,179.42,213.25,434.85,524.94,219.0,255.3321,196.09,20.41,1.1659
2025-08-05,85,178.26,202.92,428.24,527.75,218.8,253.23912,194.67,20.19,1.1574
2025-08-04,86,180.0,203.35,423.7,535.64,216.8,250.8376,195.04,19.5,1.157
2025-08-01,87,173.72,202.38,421.01,524.11,212.95,246.68128000000002,189.13,19.31,1.1584
2025-07-31,88,177.87,207.57,420.98,533.5,224.9,256.72335,191.9,19.8,1.1415
2025-07-30,89,179.27,209.05,418.68,513.24,228.95,261.09458,196.53,20.34,1.1404
2025-07-29,90,175.51,211.27,420.13,512.57,227.05,262.129225,195.75,20.41,1.1545
2025-07-28,91,176.75,214.05,421.34,512.5,225.65,261.48322,192.58,20.68,1.1588
2025-07-25,92,173.5,213.88,421.17,513.71,227.3,266.8502,193.18,20.7,1.174
2025-07-24,93,173.74,213.76,420.55,510.88,227.25,267.10965,192.17,22.63,1.1754
2025-07-23,94,170.78,214.15,419.39,505.87,227.7,268.0029,190.23,23.49,1.177
2025-07-22,95,167.03,214.4,410.74,505.27,220.35,258.977355,191.34,23.24,1.1753
2025-07-21,96,171.38,212.48,460.53,510.06,224.55,262.611225,190.1,23.26,1.1695
2025-07-18,97,172.41,211.18,463.96,510.05,224.2,260.6325,185.06,23.1,1.1625
2025-07-17,98,173.0,210.02,469.2,511.7,226.0,262.04699999999997,183.58,22.8,1.1595
2025-07-16,99,171.37,210.16,471.47,505.62,217.15,252.63231000000002,182.97,22.69,1.1634
2025-07-15,100,170.7,209.11,470.12,505.82,218.3,253.20617,182.0,22.92,1.1599
2025-07-14,101,164.07,208.62,473.57,503.02,220.3,256.93589,181.56,23.3,1.1663
2025-07-11,102,164.92,211.16,467.51,503.32,223.05,260.72314500000005,180.19,23.43,1.1689
2025-07-10,103,164.1,212.41,464.31,501.48,226.8,265.356,177.62,23.82,1.17
2025-07-09,104,162.88,211.14,463.06,503.51,225.5,264.26345,176.62,23.44,1.1719
2025-07-08,105,160.0,210.01,463.01,496.62,217.05,254.46942000000004,174.36,23.59,1.1724
2025-07-07,106,158.24,209.95,469.06,497.72,218.35,255.622345,176.79,22.0,1.1707
2025-07-03,107,159.34,213.55,462.52,498.84,221.3,260.16028,179.53,22.49,1.1756
2025-07-02,108,157.25,212.44,462.55,491.09,219.5,258.9661,178.64,21.88,1.1798
2025-07-01,109,153.3,207.82,465.94,492.05,215.65,254.57482500000003,175.84,22.85,1.1805
2025-06-30,110,157.99,205.17,463.14,497.41,217.65,256.52229000000005,176.23,22.4,1.1786
2025-06-27,111,157.75,201.08,458.59,495.94,222.75,261.040725,178.53,22.69,1.1719
2025-06-26,112,155.02,201.0,457.9,497.45,214.85,251.35301499999997,173.54,22.5,1.1699
2025-06-25,113,154.31,201.56,458.39,492.27,213.6,249.03624,170.68,22.2,1.1659
2025-06-24,114,147.9,200.3,460.2,490.11,214.5,248.9916,166.77,22.55,1.1608
2025-06-23,115,144.17,201.5,472.46,486.0,208.8,241.70688,165.19,21.19,1.1576
2025-06-20,116,143.85,201.0,470.56,477.4,209.3,241.15545999999998,166.64,21.08,1.1522
2025-06-18,117,145.48,196.58,468.6,480.24,211.05,242.264295,173.32,21.49,1.1479
2025-06-17,118,144.12,195.64,479.34,478.04,214.0,245.6506,175.95,20.8,1.1479
2025-06-16,119,144.69,198.42,467.06,479.14,216.0,249.71759999999998,176.77,20.74,1.1561
2025-06-13,120,141.97,196.45,486.45,474.96,214.95,248.31024,174.67,20.14,1.1552
2025-06-12,121,145.0,199.2,469.27,478.87,217.35,251.756505,175.7,20.77,1.1583
2025-06-11,122,142.83,198.78,456.6,472.62,219.7,252.36939,177.35,20.68,1.1487
2025-06-10,123,143.96,202.67,476.9,470.92,219.05,250.22081500000004,178.6,22.08,1.1423
2025-06-09,124,142.63,201.45,480.83,472.75,219.3,250.4406,176.09,20.48,1.142
2025-06-06,125,141.72,203.92,481.69,470.38,218.8,249.30072,173.68,20.06,1.1394
2025-06-05,126,139.99,200.63,478.03,467.68,219.25,250.90970000000002,168.21,19.99,1.1444
2025-06-04,127,141.92,202.82,482.21,463.87,218.05,248.947685,168.05,20.25,1.1417
2025-06-03,128,141.22,203.27,480.17,462.97,214.05,243.37485,166.18,20.29,1.137
2025-06-02,129,137.38,201.7,478.82,461.97,213.65,244.436965,169.03,19.74,1.1441
2025-05-30,130,135.13,200.85,482.38,460.36,211.8,240.32946,171.74,19.55,1.1347
2025-05-29,131,139.19,199.95,473.69,458.68,212.6,241.74746,171.86,20.25,1.1371
2025-05-28,132,134.81,200.42,469.98,457.36,217.5,245.601,172.36,20.37,1.1292
2025-05-27,133,135.5,200.21,476.85,460.69,221.0,250.3488,172.9,20.55,1.1328
2025-05-23,134,131.29,195.27,468.88,450.18,212.3,241.25772000000003,168.47,20.05,1.1364
2025-05-22,135,132.83,201.36,470.45,454.86,217.1,244.88879999999997,170.87,20.55,1.128
2025-05-21,136,131.8,202.09,470.28,452.57,221.0,250.3709,168.56,20.69,1.1329
2025-05-20,137,134.38,206.86,475.82,458.17,222.25,250.74245000000002,163.98,21.27,1.1282
2025-05-19,138,135.57,208.78,473.06,458.87,221.8,249.34756000000004,166.54,21.38,1.1242
2025-05-16,139,135.4,211.26,468.32,454.27,219.95,245.530185,166.19,21.66,1.1163
2025-05-15,140,134.83,211.45,465.14,453.13,221.85,248.183595,163.96,21.55,1.1187
2025-05-14,141,135.34,212.33,449.18,452.94,224.05,250.35347,165.37,21.52,1.1174
2025-05-13,142,129.93,212.93,459.83,449.14,225.15,251.80776000000003,159.53,22.56,1.1184
2025-05-12,143,123.0,210.79,473.16,449.26,221.75,245.854225,158.46,22.18,1.1087
2025-05-09,144,116.65,198.53,473.52,438.73,214.05,240.74203500000002,152.75,21.42,1.1247
2025-05-08,145,117.37,197.49,474.53,438.17,213.2,239.35963999999998,154.28,21.0,1.1227
2025-05-07,146,117.06,196.25,471.32,433.35,209.15,236.31858499999998,151.38,20.31,1.1299
2025-05-06,147,113.54,198.51,468.21,433.31,208.95,237.53436,163.23,19.94,1.1368
2025-05-05,148,113.82,198.89,471.56,436.17,211.25,239.00825,164.21,20.27,1.1314
2025-05-02,149,114.5,205.35,472.8,435.28,209.8,236.9691,164.03,20.62,1.1295
2025-05-01,150,111.61,213.32,477.72,425.4,201.95,228.02174499999998,161.3,19.98,1.1291
2025-04-30,151,108.92,212.5,477.75,395.26,201.95,228.748765,158.8,20.1,1.1327
2025-04-29,152,109.02,211.21,475.88,394.04,202.25,230.261625,160.16,20.34,1.1385
2025-04-28,153,108.73,210.14,476.29,391.16,205.05,234.187605,160.61,20.51,1.1421
2025-04-25,154,111.01,209.28,477.64,391.85,206.8,235.00752000000003,161.96,20.05,1.1364
2025-04-24,155,106.43,208.37,466.81,387.3,200.65,228.50022,159.28,21.49,1.1388
2025-04-23,156,102.71,204.6,463.55,374.39,196.5,222.30044999999998,155.35,20.59,1.1313
2025-04-22,157,98.89,199.74,462.08,366.82,189.32,216.20343999999997,151.47,19.51,1.142
2025-04-21,158,96.91,193.16,458.33,359.12,187.02,215.316126,147.67,18.84,1.1513
2025-04-17,159,101.49,196.98,464.08,367.78,187.02,212.51082600000004,151.16,18.93,1.1363
2025-04-16,160,104.49,194.27,477.08,371.61,186.14,212.16237199999998,153.33,19.23,1.1398
2025-04-15,161,112.2,202.14,469.58,385.73,185.3,209.03693000000004,156.31,19.85,1.1281
2025-04-14,162,110.71,202.52,475.34,387.81,185.7,210.75092999999998,159.07,20.31,1.1349
2025-04-11,163,110.93,198.15,474.9,388.45,180.68,205.25248,157.14,19.74,1.136
2025-04-10,164,107.57,190.42,463.7,381.35,186.94,209.31671799999998,152.82,19.88,1.1197
2025-04-09,165,114.33,198.85,462.24,390.49,177.16,194.007916,158.71,21.53,1.0951
2025-04-08,166,96.3,172.42,443.36,354.56,182.74,200.209944,144.7,18.13,1.0956
2025-04-07,167,97.64,181.46,430.82,357.86,176.6,192.56464,146.75,19.57,1.0904
2025-04-04,168,94.31,188.38,432.15,359.84,185.62,203.34671,145.6,19.85,1.0955
2025-04-03,169,101.8,203.19,454.78,373.11,197.48,218.2154,150.72,22.43,1.105
2025-04-02,170,110.42,223.89,452.87,382.14,214.75,233.111125,157.04,21.98,1.0855
2025-04-01,171,110.15,223.19,448.64,382.19,214.75,231.779675,157.07,22.05,1.0793
2025-03-31,172,108.38,222.13,446.71,375.39,211.9,229.21223000000003,154.64,22.71,1.0817
2025-03-28,173,109.67,217.9,441.49,378.8,216.0,233.8632,154.33,22.71,1.0827
2025-03-27,174,111.43,223.85,442.28,390.58,221.55,239.29615500000003,162.24,23.62,1.0801
2025-03-26,175,113.76,221.53,445.17,389.97,224.5,241.3824,165.06,23.42,1.0752
2025-03-25,176,120.69,223.75,442.07,395.16,228.9,247.00599,170.56,24.2,1.0791
2025-03-24,177,121.41,220.73,434.98,393.08,225.35,243.37800000000001,167.68,24.22,1.08
2025-03-21,178,117.7,218.27,439.7,391.26,228.85,247.47838999999996,163.99,24.26,1.0814
2025-03-20,179,118.53,214.1,466.74,386.84,234.45,254.401695,162.8,23.96,1.0851
2025-03-19,180,117.52,215.24,470.55,387.82,236.7,258.02667,163.89,24.12,1.0901
2025-03-18,181,115.43,212.69,469.28,383.52,237.0,259.3491,160.67,25.92,1.0943
2025-03-17,182,119.53,214.0,467.61,388.7,234.3,255.87903000000003,164.29,25.69,1.0921
2025-03-14,183,121.67,213.49,466.17,388.56,231.75,252.12082500000002,165.49,24.05,1.0879
2025-03-13,184,115.58,209.68,467.93,378.77,226.5,245.7978,162.76,23.7,1.0852
2025-03-12,185,115.74,216.98,461.5,383.27,226.85,246.94890999999998,167.11,20.68,1.0886
2025-03-11,186,108.76,220.84,468.88,380.45,223.2,243.68976,164.04,19.78,1.0918
2025-03-10,187,106.98,227.48,479.17,380.16,228.4,247.40287999999998,165.87,19.93,1.0832
2025-03-07,188,112.69,239.07,473.65,393.31,234.3,253.79376,173.86,20.64,1.0832
2025-03-06,189,110.57,235.33,461.5,396.89,243.0,262.0269,172.35,20.75,1.0783
2025-03-05,190,117.3,235.74,460.42,401.02,231.55,249.84245,173.02,20.81,1.079
2025-03-04,191,115.99,235.93,448.82,388.61,213.3,226.60992000000002,170.92,21.33,1.0624
2025-03-03,192,114.06,238.03,451.94,388.49,225.95,236.93116999999998,167.01,22.74,1.0486
2025-02-28,193,124.92,241.84,450.37,396.99,221.2,229.495,170.28,23.73,1.0375
2025-02-27,194,120.15,237.3,446.46,392.53,220.6,229.35782,168.5,23.09,1.0397
2025-02-26,195,131.28,240.36,441.5,399.73,223.45,234.24263499999998,172.73,23.52,1.0483
2025-02-25,196,126.63,247.04,448.46,397.9,216.6,227.71157999999997,175.42,22.99,1.0513
2025-02-24,197,130.28,247.1,440.27,404.0,218.1,228.26345999999998,179.25,24.27,1.0466
2025-02-21,198,134.43,245.55,440.72,408.21,221.45,231.59241,179.66,24.87,1.0458
2025-02-20,199,140.11,245.83,436.29,416.13,221.25,232.3125,184.56,26.09,1.05
2025-02-19,200,139.23,244.87,432.95,414.77,220.35,229.626735,185.27,25.72,1.0421
2025-02-18,201,139.4,244.47,428.54,409.64,226.2,236.2659,183.77,27.39,1.0445
2025-02-14,202,138.85,244.6,423.19,408.43,225.2,236.25731999999996,185.23,23.6,1.0491
2025-02-13,203,135.29,241.53,434.72,410.54,227.45,238.00367999999997,186.14,24.13,1.0464
2025-02-12,204,131.14,236.87,441.97,409.04,212.05,220.15031000000002,183.61,22.48,1.0382
2025-02-11,205,132.8,232.62,449.36,411.44,214.9,222.6364,185.32,20.97,1.036
2025-02-10,206,133.57,227.65,448.22,412.22,211.15,217.61119,186.47,19.77,1.0306
2025-02-07,207,129.84,227.63,444.39,409.75,207.45,214.233615,185.34,19.1,1.0327
2025-02-06,208,128.68,233.22,448.52,415.82,208.05,215.976705,191.6,19.38,1.0381
2025-02-05,209,124.83,232.47,449.87,413.29,201.25,209.34025,191.33,19.65,1.0402
2025-02-04,210,118.65,232.8,453.68,412.37,201.85,209.459745,206.38,19.29,1.0377
2025-02-03,211,116.66,228.01,455.42,410.92,202.1,209.05223999999998,201.23,19.38,1.0344
2025-01-31,212,120.07,236.0,462.95,415.06,207.45,214.95969,204.02,19.43,1.0362
2025-01-30,213,124.65,237.59,459.65,414.99,205.15,213.15085,200.87,20.01,1.039
2025-01-29,214,123.7,239.36,454.36,442.33,203.35,211.8907,195.41,19.75,1.042
2025-01-28,215,128.99,238.26,457.45,447.2,200.05,208.61214,195.3,19.8,1.0428
2025-01-27,216,118.42,229.86,503.69,434.56,201.4,211.28874,191.81,20.29,1.0491
2025-01-24,217,142.62,222.78,496.96,444.06,208.45,218.72658499999997,200.21,20.83,1.0493
2025-01-23,218,147.22,223.66,497.28,446.71,209.0,217.67350000000002,197.98,21.57,1.0415
2025-01-22,219,147.07,223.83,499.34,446.2,207.15,215.581005,198.37,21.86,1.0407
2025-01-21,220,140.83,222.64,506.29,428.5,204.15,212.90803499999998,198.05,21.77,1.0429
2025-01-17,221,137.71,229.98,490.32,429.03,200.85,206.29303499999997,196.0,21.49,1.0271
2025-01-16,222,133.57,228.26,486.86,424.58,195.16,200.97576800000002,192.91,19.67,1.0298
2025-01-15,223,136.24,237.87,483.97,426.31,195.58,201.232262,195.55,19.72,1.0289
2025-01-14,224,131.76,233.28,484.46,415.67,193.96,199.914572,189.66,19.2,1.0307
2025-01-13,225,133.23,234.4,483.16,417.19,193.18,197.893592,191.01,19.2,1.0244
2025-01-10,226,135.91,236.85,468.05,418.95,194.5,199.2458,192.04,19.15,1.0244
2025-01-08,227,140.11,242.7,468.85,424.56,195.64,201.86135199999998,193.95,19.88,1.0318
2025-01-07,228,140.14,242.21,463.96,422.37,193.54,200.101006,195.49,20.01,1.0339
2025-01-06,229,149.43,245.0,466.0,427.85,193.08,200.61012,196.87,19.87,1.039
