Dia,Date,V0,Rendimiento_Promedio,Desviacion_Estandar,VaR_1pct,VaR_5pct,VaR_1pct_pct,VaR_5pct_pct
1,2025-12-01,956121.5057999999,0.0008273419521803944,0.014760017702272775,-32034.334003602107,-22423.809794481418,-3.350445922330608,-2.3452887168058325
2,2025-11-28,957786.57065,0.0008313613135154385,0.014760964117267053,-32088.379844931762,-22460.501814802254,-3.3502641223247727,-2.3450424659388864
3,2025-11-26,955596.57266,0.0008087204557966624,0.01476702942691376,-32050.12612470236,-22440.31536005849,-3.3539389991204747,-2.3483042951476474
4,2025-11-25,947834.5046999999,0.0008086261666749963,0.01476705830381445,-31789.944134572797,-22258.17277975457,-3.353955144799742,-2.3483184743099774
5,2025-11-24,951318.4240000001,0.0007963834817892992,0.014756505453358132,-31895.08892127006,-22335.1186378459,-3.352724820272172,-2.3478067988984828
6,2025-11-21,932998.655485,0.000799799307976014,0.014756901810794783,-31278.550691034125,-21902.427228440465,-3.3524754303932647,-2.3475304170781404
7,2025-11-20,932252.1369299999,0.0008352774077046836,0.014754850014815545,-31216.00015330908,-21848.681402505154,-3.3484503726756274,-2.3436450866666885
8,2025-11-19,949121.85824,0.0008298478957005568,0.014751363130727294,-31778.329822298063,-22243.756974489796,-3.3481822746371126,-2.343614445434584
9,2025-11-18,936930.121565,0.0008547874876624144,0.014744722217194384,-31332.289061752173,-21924.427709382075,-3.3441436389531725,-2.3400280559622346
10,2025-11-17,951730.1529999999,0.0008625988476406463,0.014740768896014647,-31811.03750141845,-22257.128986197375,-3.3424429604489427,-2.3385965986303447
11,2025-11-14,961830.1523,0.0008596058703050231,0.014739227129883863,-32148.0536875768,-22493.766563419747,-3.3423836433804843,-2.3386422758353933
12,2025-11-13,952360.8453,0.0008985609495169368,0.01470535465485305,-31719.41981421624,-22182.14829734485,-3.330609397767126,-2.329174745771633
13,2025-11-12,983221.28792,0.0009060051862701031,0.01470699541456547,-32743.693656957785,-22896.27636438388,-3.3302466148009175,-2.32870022706901
14,2025-11-11,982810.2148,0.000898740102588385,0.01471217275503509,-32748.97959279677,-22902.214226556713,-3.3321773725623243,-2.330278407944434
15,2025-11-10,988680.14948,0.0008685188064816423,0.014680978571455465,-32902.719094523876,-23018.14568222863,-3.327943735072377,-2.3281690943562596
16,2025-11-07,958814.2390500001,0.0008506834736920567,0.014699862069267282,-31968.013183560015,-22369.70154291849,-3.3341195699423642,-2.3330589630252625
17,2025-11-06,964369.91688,0.0008736004576710722,0.014686201228094517,-32100.502708874617,-22455.546931035078,-3.3286503598876775,-2.3285200562544404
18,2025-11-05,983394.7955,0.0008795632649585616,0.01468475680688762,-32724.60667104667,-22890.34463401758,-3.3277181067862047,-2.327686168237157
19,2025-11-04,988991.15236,0.000912857075830926,0.01466747597931576,-32838.15766517095,-22959.5689609226,-3.320369205205753,-2.32151409101435
20,2025-11-03,1012647.1702399999,0.0009100627239436957,0.014666509592310601,-33624.17824587988,-23509.966629997143,-3.3204238587770765,-2.3216345555407245
21,2025-10-31,1005232.63953,0.0009200623151512039,0.014666810559254515,-33368.636195921135,-23328.274088692368,-3.3194939045674796,-2.3206841054822474
22,2025-10-30,1008908.8394999999,0.0009505530078086534,0.014680219923263753,-33491.3731494996,-23405.079666311554,-3.3195638533702834,-2.319840876596022
23,2025-10-29,1016905.0618250001,0.0009439101381905558,0.014676152071216305,-33753.94624659539,-23590.529729319398,-3.319281957945857,-2.3198360018960265
24,2025-10-28,1003609.18125,0.0009128890072465362,0.014663482380452607,-33314.17551113993,-23292.303334232318,-3.319437100968623,-2.3208539508598003
25,2025-10-27,981597.4095600001,0.0008873958997018811,0.014647558902658868,-32572.176149377545,-22780.75414834764,-3.3182826107882644,-2.3207838495171957
26,2025-10-24,959723.715,0.0008713983155995981,0.014641022606522594,-31847.10731995956,-22278.147090367256,-3.3183620267171956,-2.321308387213007
27,2025-10-23,945675.168445,0.0008747259324187326,0.014642587006776401,-31381.21995924224,-21951.323793117524,-3.3183931445343178,-2.321232969372845
28,2025-10-22,939954.728,0.0008836437150789762,0.014641552102798687,-31180.748297228543,-21808.556536591157,-3.317260647603077,-2.3201709494024865
29,2025-10-21,944941.3837799999,0.0009077610291316343,0.014644179254550254,-31329.153524197136,-21905.549746988403,-3.3154599916952256,-2.3181913844603534
30,2025-10-20,954071.3412,0.0008773270690216472,0.014650935979387157,-31675.884099504627,-22156.840126376253,-3.320075001903288,-2.3223462617070223
31,2025-10-17,941956.99001,0.0008797306823293161,0.014651675369157234,-31273.034450686853,-21874.38454270971,-3.3200066226330414,-2.322227529993433
32,2025-10-16,938036.755775,0.0008696720610029995,0.014653761451539795,-31156.869338835306,-21796.002112689257,-3.3214977075278567,-2.3235765526779963
33,2025-10-15,935353.9853100001,0.0008603915066193865,0.014653962202922737,-31076.878544278465,-21742.65537831297,-3.3224724577378897,-2.3245376317188513
34,2025-10-14,930525.819575,0.0008575094046914266,0.014658597318649002,-30929.178196422137,-21640.199760184463,-3.3238387958486153,-2.3255883184486184
35,2025-10-13,950726.1491200001,0.000835183093094727,0.014649708992239071,-31602.175247522046,-22117.30162328047,-3.324004002285335,-2.326358819913855
36,2025-10-10,934064.64766,0.000866705133053805,0.014613602056784868,-30940.455480023236,-21644.772072741358,-3.31245332510278,-2.3172670250357306
37,2025-10-09,964597.189815,0.0008735995406267466,0.014615736834962043,-31949.97106330177,-22349.029663529316,-3.312260433749496,-2.3169287552885813
38,2025-10-08,962725.94285,0.0008793803301083449,0.014620812421877159,-31893.79093899367,-22308.147015191997,-3.312862936317793,-2.317185610387958
39,2025-10-07,952431.82985,0.0008881894928788689,0.014620098165911253,-31542.788626225836,-22060.104122230157,-3.3118158841030714,-2.3161871990045144
40,2025-10-06,956934.255825,0.0008623523963166182,0.014640939417922296,-31763.01415237731,-22221.92053871234,-3.3192472689770645,-2.322199294616556
41,2025-10-03,955020.34748,0.0008513890043610598,0.014646522033194704,-31722.358159298532,-22196.71637090676,-3.3216421244849825,-2.3242139740244228
42,2025-10-02,956082.2099199999,0.0008397000943967666,0.014643735112544031,-31762.60730253775,-22228.18874094861,-3.322162777738065,-2.3249244165738165
43,2025-10-01,946449.003145,0.0008388340954844812,0.014643366419485725,-31442.584460776554,-22004.46956694786,-3.3221636196239324,-2.3249503664569535
44,2025-09-30,939403.08284,0.0008258925411892904,0.014639381696160086,-31211.95796977636,-21846.65508803402,-3.3225309284079074,-2.3255890348994055
45,2025-09-29,928441.2255000002,0.0008261659333445886,0.014639463516407507,-30847.66973604557,-21591.598470069297,-3.3225226205819274,-2.325575155114576
46,2025-09-26,923761.258375,0.0008137428526335918,0.014639278084097014,-30703.25429775301,-21493.956497434774,-3.3237217970976065,-2.3267869595705997
47,2025-09-25,917112.3863,0.0008061859585316326,0.014639103481191261,-30488.822345003926,-21345.918515565987,-3.324436873871924,-2.327513926802799
48,2025-09-24,912616.551155,0.0008032274733707593,0.014640583962332553,-30345.20379174503,-21246.199867535015,-3.325077082301476,-2.328053314466629
49,2025-09-23,917234.6214999999,0.0008149405394938223,0.014636936160517536,-30480.232020246807,-21337.46338825156,-3.3230572969869967,-2.3262819444557525
50,2025-09-22,926127.14729,0.0007978662623231797,0.014625317893139509,-30766.52095569903,-21542.44137352422,-3.322062315711932,-2.3260781671891313
51,2025-09-19,908600.7822399999,0.0007941041608040077,0.014624293046193037,-30185.536518351233,-21136.650885244722,-3.3222001464641,-2.326285790018354
